date,stock_code,stock_name,margin_balance,margin_purchase_amount,margin_repayment_amount,short_selling_balance,short_selling_volume,short_selling_repayment_volume
2023-09-22,600162,香江控股,159595401,3959845,4688061,3300,0,0
2023-09-22,600163,中闽能源,270020243,3033791,2474246,3272599,129900,51500
2023-09-22,600165,宁科生物,66634155,341098,630792,0,0,0
2023-09-22,600166,福田汽车,498427334,5634249,7113257,3808523,501000,789042
2023-09-22,600167,联美控股,538531984,1201601,2170672,1047600,42700,12000
2023-09-22,600168,武汉控股,86474872,1025556,3617935,0,0,0
2023-09-22,600169,太原重工,226567115,4615797,3681949,541008,71100,13400
2023-09-22,600170,上海建工,363245640,8077304,11698016,3988763,234700,236700
2023-09-22,600171,上海贝岭,669231820,4234084,6779270,568448,20300,23300
2023-09-22,600172,黄河旋风,281355694,17188163,14945031,1178733,174500,250650
2023-09-22,600176,中国巨石,902624344,4985522,9931335,455479,70900,38200
2023-09-22,600177,雅戈尔,456480663,11551795,25926736,5721756,144800,112300
2023-09-22,600179,安通控股,64277735,2267765,1820819,1288473,1200,677400
2023-09-22,600180,瑞茂通,269196010,6938970,4253949,0,0,0
2023-09-22,600183,生益科技,634890008,15403177,9465915,1386840,81400,115500
2023-09-22,600184,光电股份,228807797,3778927,2503449,311655,1100,4800
2023-09-22,600185,格力地产,642611368,7070151,16342805,1488957,49600,247300
2023-09-22,600187,国中水务,239239809,8555409,7537776,23700,0,8000
2023-09-22,600188,兖矿能源,852337405,87727557,98064772,4626959,200350,518300
2023-09-22,600190,锦州港,177996811,23861794,24981147,0,0,0
2023-09-22,600192,长城电工,105874089,4577262,4602623,0,0,0
2023-09-22,600195,中牧股份,220797258,10990651,4399224,883051,33800,20800
2023-09-22,600196,复星医药,2886914134,19583819,28660396,2656055,68200,67600
2023-09-22,600197,伊力特,337291122,9627584,7756980,192073,61300,58586
2023-09-22,600199,金种子酒,781534136,9952061,5461224,1028899,21300,213800
2023-09-22,600200,江苏吴中,269448432,6162880,4124821,7600,0,100
2023-09-22,600201,生物股份,833098787,6611049,4612493,463562,37800,63400
2023-09-22,600206,有研新材,635771512,5805684,4497079,1716779,9600,6088
2023-09-22,600207,安彩高科,179286499,1247540,2467949,0,0,0
2023-09-22,600208,新湖中宝,912083589,27809319,22678139,57872845,16600,481000
2023-09-22,600210,紫江企业,346042602,5775941,6270217,348247,8800,36900
2023-09-22,600211,西藏药业,212366203,5423164,12582876,76163,5700,12100
2023-09-22,600212,绿能慧充,67776788,2298408,6469120,0,0,0
2023-09-22,600213,亚星客车,47396672,1550038,2776275,0,0,0
2023-09-22,600216,浙江医药,534505173,1514220,3736505,429729,5100,0
2023-09-22,600217,中再资环,371101223,4478850,8938249,887489,119400,3700
2023-09-22,600218,全柴动力,448603511,1664308,677959,300,0,0
2023-09-22,600219,南山铝业,988679314,25538913,18507656,4130030,231400,150900
2023-09-22,600220,江苏阳光,131742239,959903,2218178,0,0,0
2023-09-22,600221,海航控股,350270248,1852307,3656081,46000,0,0
2023-09-22,600222,太龙药业,174714800,1313878,856473,543100,0,0
2023-09-22,600223,福瑞达,453884756,2863667,6870608,327165,18500,24725
2023-09-22,600225,卓朗科技,427265950,802078,1381611,489604,33700,22200
