"Stkcd","ShortName_EN","Accper","Typrep","F050501B"
"000056","HTGJ","2025-09-30","A",""
"000056","HTGJ","2025-12-31","A",""
"000056","HTGJ","2025-12-31","B","-0.020152"
"000056","HTGJ","2026-03-31","A",""
"000058","SSG","2024-06-30","A","0.026992"
"000058","SSG","2024-06-30","B","0.041268"
"000058","SSG","2024-09-30","A","0.019066"
"000058","SSG","2024-12-31","A","0.020287"
"000058","SSG","2024-12-31","B","0.046473"
"000058","SSG","2025-03-31","A","0.009987"
"000058","SSG","2025-06-30","A","0.022821"
"000058","SSG","2025-06-30","B","0.033290"
"000058","SSG","2025-09-30","A","0.040804"
"000058","SSG","2025-12-31","A","0.026756"
"000058","SSG","2025-12-31","B","0.031625"
"000058","SSG","2026-03-31","A","0.011463"
"000059","HJGF","2024-06-30","A","-0.052645"
"000059","HJGF","2024-06-30","B","-0.070158"
"000059","HJGF","2024-09-30","A","-0.148367"
"000059","HJGF","2024-12-31","A","-0.234490"
"000059","HJGF","2024-12-31","B","-0.288990"
"000059","HJGF","2025-03-31","A","-0.028735"
"000059","HJGF","2025-06-30","A","-0.088319"
"000059","HJGF","2025-06-30","B","-0.109333"
"000059","HJGF","2025-09-30","A","-0.128605"
"000059","HJGF","2025-12-31","A","-0.166960"
"000059","HJGF","2025-12-31","B","-0.219563"
"000059","HJGF","2026-03-31","A","0.006286"
"000060","ZJLN","2024-06-30","A","0.040351"
"000060","ZJLN","2024-06-30","B","0.023704"
"000060","ZJLN","2024-09-30","A","0.057131"
"000060","ZJLN","2024-12-31","A","0.075098"
"000060","ZJLN","2024-12-31","B","0.043174"
"000060","ZJLN","2025-03-31","A","0.017137"
"000060","ZJLN","2025-06-30","A","0.035561"
"000060","ZJLN","2025-06-30","B","0.030787"
"000060","ZJLN","2025-09-30","A","0.051082"
"000060","ZJLN","2025-12-31","A","0.040168"
"000060","ZJLN","2025-12-31","B","0.048909"
"000060","ZJLN","2026-03-31","A","0.024085"
"000061","NCP","2024-06-30","A","0.038867"
"000061","NCP","2024-06-30","B","0.007594"
"000061","NCP","2024-09-30","A","0.057278"
"000061","NCP","2024-12-31","A","0.070027"
"000061","NCP","2024-12-31","B","0.058492"
"000061","NCP","2025-03-31","A","0.011652"
"000061","NCP","2025-06-30","A","0.029896"
"000061","NCP","2025-06-30","B","0.012447"
"000061","NCP","2025-09-30","A","0.034591"
"000061","NCP","2025-12-31","A","0.047020"
"000061","NCP","2025-12-31","B","0.051869"
"000061","NCP","2026-03-31","A","0.014646"
"000062","SZHQ","2024-06-30","A","0.026265"
"000062","SZHQ","2024-06-30","B","0.001524"
"000062","SZHQ","2024-09-30","A","0.039265"
"000062","SZHQ","2024-12-31","A","0.034832"
"000062","SZHQ","2024-12-31","B","0.162098"
"000062","SZHQ","2025-03-31","A","0.015863"
"000062","SZHQ","2025-06-30","A","0.034821"
"000062","SZHQ","2025-06-30","B","0.031847"
"000062","SZHQ","2025-09-30","A","0.054725"
"000062","SZHQ","2025-12-31","A","0.070875"
"000062","SZHQ","2025-12-31","B","0.213067"
"000062","SZHQ","2026-03-31","A","0.029528"
"000063","ZXTX","2024-06-30","A","0.080700"
"000063","ZXTX","2024-06-30","B","0.088926"
"000063","ZXTX","2024-09-30","A","0.108033"
"000063","ZXTX","2024-09-30","B","0.100836"
"000063","ZXTX","2024-12-31","A","0.114288"
"000063","ZXTX","2024-12-31","B","0.108335"
"000063","ZXTX","2025-03-31","A","0.033956"
"000063","ZXTX","2025-03-31","B","0.024455"
"000063","ZXTX","2025-06-30","A","0.067323"
"000063","ZXTX","2025-06-30","B","0.055244"
"000063","ZXTX","2025-09-30","A","0.070900"
"000063","ZXTX","2025-09-30","B","0.021241"
"000063","ZXTX","2025-12-31","A","0.073572"
"000063","ZXTX","2025-12-31","B","0.053438"
"000063","ZXTX","2026-03-31","A","0.017112"
"000063","ZXTX","2026-03-31","B","0.003222"
"000065","BFGJ","2024-06-30","A","0.059403"
"000065","BFGJ","2024-06-30","B","0.014365"
"000065","BFGJ","2024-09-30","A","0.080052"
"000065","BFGJ","2024-12-31","A","0.100403"
"000065","BFGJ","2024-12-31","B","0.036105"
"000065","BFGJ","2025-03-31","A","0.016837"
"000065","BFGJ","2025-06-30","A","0.027772"
"000065","BFGJ","2025-06-30","B","0.052188"
"000065","BFGJ","2025-09-30","A","0.044487"
"000065","BFGJ","2025-12-31","A","0.061742"
"000065","BFGJ","2025-12-31","B","0.070543"
"000065","BFGJ","2026-03-31","A","0.010145"
"000066","ZGCC","2024-06-30","A","-0.029059"
"000066","ZGCC","2024-06-30","B","-0.014944"
"000066","ZGCC","2024-09-30","A","-0.049647"
"000066","ZGCC","2024-12-31","A","-0.114695"
"000066","ZGCC","2024-12-31","B","-0.059472"
"000066","ZGCC","2025-03-31","A","-0.014257"
"000066","ZGCC","2025-06-30","A","0.011029"
"000066","ZGCC","2025-06-30","B","-0.030343"
"000066","ZGCC","2025-09-30","A","0.001970"
"000066","ZGCC","2025-12-31","A","-0.001127"
"000066","ZGCC","2025-12-31","B","0.044932"
"000066","ZGCC","2026-03-31","A","-0.007585"
"000068","HKSG","2024-06-30","A","-0.061701"
"000068","HKSG","2024-06-30","B","-0.021557"
"000068","HKSG","2024-09-30","A","-0.082525"
"000068","HKSG","2024-12-31","A","0.008678"
"000068","HKSG","2024-12-31","B","0.065245"
"000068","HKSG","2025-03-31","A","-0.016129"
"000068","HKSG","2025-06-30","A","-0.086951"
"000068","HKSG","2025-06-30","B","-0.088751"
"000068","HKSG","2025-09-30","A","-0.097014"
"000068","HKSG","2025-12-31","A","-0.091291"
"000068","HKSG","2025-12-31","B","-0.188824"
"000068","HKSG","2026-03-31","A","-0.015258"
"000069","HQCA","2024-06-30","A","-0.017170"
"000069","HQCA","2024-06-30","B","-0.002610"
"000069","HQCA","2024-09-30","A","-0.036946"
"000069","HQCA","2024-12-31","A","-0.127188"
"000069","HQCA","2024-12-31","B","-0.002745"
"000069","HQCA","2025-03-31","A","-0.023545"
"000069","HQCA","2025-06-30","A","-0.051379"
"000069","HQCA","2025-06-30","B","-0.006471"
"000069","HQCA","2025-09-30","A","-0.078436"
